datumhir;dauerhir;mitarbeiterhir
01.07.2024;0.5;pw
01.07.2024;1;hb
01.07.2024;1.5;pw
01.07.2024;0.5;hb
02.07.2024;1;pw
02.07.2024;0.5;tl
02.07.2024;1;hb
02.07.2024;1.5;hb
03.07.2024;0.5;tl
03.07.2024;0.5;tl
03.07.2024;0.5;pw
03.07.2024;0.5;pw
03.07.2024;2;tl
03.07.2024;2;tl
03.07.2024;2;pw
03.07.2024;2;hb
04.07.2024;1.5;hb
04.07.2024;1;tl
04.07.2024;0.5;pw
04.07.2024;0.5;hb
05.07.2024;1;pw
05.07.2024;1;hb
07.07.2024;2.5;hb
07.07.2024;2;pw
07.07.2024;0.5;tl
07.07.2024;0.5;pw
09.07.2024;2;hb
11.07.2024;0.5;tl
11.07.2024;0.5;pw
11.07.2024;0.5;pw
16.07.2024;0.5;hb
16.07.2024;1;hb
18.07.2024;1;pw
19.07.2024;1;hb
23.07.2024;4;pw
23.07.2024;4;hb
23.07.2024;4;pw
23.07.2024;4;hb
23.07.2024;0.5;tl
23.07.2024;0.5;tl
25.07.2024;2.5;hb
25.07.2024;2.5;pw
25.07.2024;2.5;hb
25.07.2024;2.5;pw
25.07.2024;2.5;hb
25.07.2024;0.5;tl
25.07.2024;0.5;pw
25.07.2024;0.5;hb
29.07.2024;1.5;tl
29.07.2024;1.5;hb
29.07.2024;1.5;pw
29.07.2024;0.5;pw
29.07.2024;0.5;hb
29.07.2024;1;pw
29.07.2024;1;hb
29.07.2024;1;pw
29.07.2024;1;hb
14.08.2024;0.5;pw
14.08.2024;0.5;tl
14.08.2024;1;hb
16.08.2024;2;hb
29.08.2024;1.5;pw
29.08.2024;1.5;hb
29.08.2024;1.5;tl
02.09.2024;1.5;pw
02.09.2024;1.5;hb
02.09.2024;1.5;tl
